Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime
334,71/10,1/25,400,2025:03:12 17:07:26
335,25,1/160,400,2025:03:12 17:09:16
336,20,1/40,400,2025:03:12 17:10:01
337,25,1/40,400,2025:03:12 17:11:12
338,25,1/40,400,2025:03:12 17:11:59
339,18,1/40,400,2025:03:12 17:12:41
340,18,1/40,400,2025:03:12 17:12:52
341,18,1/40,400,2025:03:12 17:13:22
342,20,1/50,400,2025:03:12 17:13:40
343,13,1/40,400,2025:03:12 17:14:10
344,16,1/40,400,2025:03:12 17:14:54
345,5,1/20,400,2025:03:12 17:15:41
346,14,1/30,400,2025:03:12 17:16:19
347,14,1/30,400,2025:03:12 17:16:42
348,18,1/30,400,2025:03:12 17:17:55
349,32,1/80,400,2025:03:12 17:18:57
350,9,1/80,400,2025:03:12 17:21:00
351,9,1/80,400,2025:03:12 17:21:43
352,28/5,1/60,400,2025:03:12 17:22:22
353,5,1/50,400,2025:03:12 17:24:18
354,18,1/100,400,2025:03:12 17:24:53
355,10,1/100,400,2025:03:12 17:25:06
356,8,1/100,400,2025:03:12 17:25:52
357,5,1/40,400,2025:03:12 17:26:40
358,5,1/40,400,2025:03:12 17:27:03
359,71/10,1/60,400,2025:03:12 17:27:54
360,11,1/60,400,2025:03:12 17:28:35
361,11,1/60,400,2025:03:12 17:29:08
362,71/10,1/40,400,2025:03:12 17:29:32
363,71/10,1/40,400,2025:03:12 17:29:43
364,71/10,1/40,400,2025:03:12 17:30:23
365,9,1/40,400,2025:03:12 17:31:06
366,63/10,1/60,400,2025:03:12 17:31:55
367,5,1/60,400,2025:03:12 17:32:26
368,20,1/60,400,2025:03:12 17:33:15
369,20,1/60,400,2025:03:12 17:33:57
370,9,1/60,400,2025:03:12 17:34:53
371,9,1/60,400,2025:03:12 17:35:13
372,14,1/60,400,2025:03:12 17:35:27
373,14,1/60,400,2025:03:12 17:35:42
374,11,1/60,400,2025:03:12 17:36:05
375,13,1/60,400,2025:03:12 17:36:26
376,18,1/60,400,2025:03:12 17:37:02
377,18,1/60,400,2025:03:12 17:37:09
378,32,1/60,400,2025:03:12 17:38:05
379,13,1/60,400,2025:03:12 17:38:42
380,20,1/60,400,2025:03:12 17:39:30
381,22,1/80,400,2025:03:12 17:39:44
382,22,1/80,400,2025:03:12 17:40:24
383,22,1/80,400,2025:03:12 17:40:45
384,22,1/80,400,2025:03:12 17:40:57
385,22,1/80,400,2025:03:12 17:41:42
386,22,1/80,400,2025:03:12 17:41:53
387,22,1/80,400,2025:03:12 17:42:05
388,9,1/80,400,2025:03:12 17:42:27
389,5,1/80,800,2025:03:12 17:42:43
390,13,1/80,800,2025:03:12 17:43:15
391,20,1/80,800,2025:03:12 17:43:48
392,20,1/80,800,2025:03:12 17:43:59
393,32,1/100,800,2025:03:12 17:44:22
394,32,1/100,800,2025:03:12 17:44:51
395,13,1/100,800,2025:03:12 17:45:19
396,14,1/100,800,2025:03:12 17:45:27
397,14,1/100,800,2025:03:12 17:45:39
398,20,1/100,800,2025:03:12 17:46:21
399,71/10,1/100,800,2025:03:12 17:46:56
400,71/10,1/100,800,2025:03:12 17:47:06
401,71/10,1/100,800,2025:03:12 17:47:47
402,32,1/200,800,2025:03:12 17:48:02
403,71/10,1/60,800,2025:03:12 17:48:28
404,71/10,1/60,800,2025:03:12 17:48:45
405,29,1/60,800,2025:03:12 17:49:15
406,32,1/100,800,2025:03:12 17:49:52
407,16,1/100,800,2025:03:12 17:50:20
408,29,1/100,800,2025:03:12 17:50:36
409,29,1/100,800,2025:03:12 17:50:50
410,16,1/100,800,2025:03:12 17:51:11
411,11,1/100,800,2025:03:12 17:51:28
412,11,1/100,800,2025:03:12 17:52:00
413,13,1/100,800,2025:03:12 17:52:32
414,13,1/100,800,2025:03:12 17:52:43
415,13,1/100,800,2025:03:12 17:53:17
416,13,1/100,800,2025:03:12 17:53:26
417,22,1/100,800,2025:03:12 17:54:02
418,22,1/100,800,2025:03:12 17:54:24
419,29,1/125,800,2025:03:12 17:54:59
420,29,1/160,800,2025:03:12 17:55:07
421,22,1/125,800,2025:03:12 17:55:51
422,25,1/160,800,2025:03:12 17:56:10
423,22,1/160,800,2025:03:12 17:56:34
424,8,1/160,800,2025:03:12 17:57:00
425,8,1/160,800,2025:03:12 17:57:32
426,14,1/160,800,2025:03:12 17:57:45
427,25,1/160,800,2025:03:12 17:58:06
428,16,1/160,800,2025:03:12 17:58:24
429,13,1/160,800,2025:03:12 17:59:06
430,9,1/160,800,2025:03:12 17:59:52
431,11,1/160,800,2025:03:12 18:00:04
432,71/10,1/160,800,2025:03:12 18:00:45
433,71/10,1/160,800,2025:03:12 18:01:13
