Image Number,EXIF FNumber,EXIF ExposureTime,EXIF ISOSpeedRatings,Image DateTime,MakerNotes:EasyMode
1204,29,1/125,400,2025:04:30 16:27:24,Manual
1205,29,1/125,400,2025:04:30 16:27:24,Manual
1206,22,1/125,400,2025:04:30 16:27:36,Manual
1207,16,1/640,400,2025:04:30 16:28:30,Manual
1208,71/10,1/3200,400,2025:04:30 16:28:39,Manual
1209,5,1/250,400,2025:04:30 16:28:57,Manual
1210,5,1/500,400,2025:04:30 16:29:10,Manual
1211,5,1/2000,400,2025:04:30 16:29:39,Manual
1212,22,1/8,800,2025:04:30 16:30:03,Manual
1213,22,1/13,800,2025:04:30 16:30:11,Manual
1214,29,1/100,800,2025:04:30 16:30:30,Manual
1215,36,1/100,800,2025:04:30 16:30:41,Manual
1216,20,1/100,800,2025:04:30 16:30:51,Manual
1217,14,1/125,400,2025:04:30 16:31:02,Manual
1218,32,1/125,400,2025:04:30 16:31:18,Manual
1219,18,1/800,400,2025:04:30 16:31:40,Manual
1220,20,1/800,400,2025:04:30 16:31:50,Manual
1221,16,1/800,400,2025:04:30 16:32:01,Manual
1222,14,1/500,400,2025:04:30 16:32:13,Manual
1223,11,1/320,400,2025:04:30 16:32:26,Manual
1224,11,1/320,400,2025:04:30 16:32:28,Manual
1225,9,1/200,400,2025:04:30 16:32:57,Manual
1226,11,1/400,400,2025:04:30 16:33:34,Manual
1227,22,1/1000,400,2025:04:30 16:33:53,Manual
1228,18,1/640,400,2025:04:30 16:34:09,Manual
1229,28/5,1/100,100,2025:04:30 16:34:33,Scene Intelligent Auto
1230,10,1/250,100,2025:04:30 16:34:59,Scene Intelligent Auto
1231,10,1/250,100,2025:04:30 16:35:06,Scene Intelligent Auto
1232,5,1/125,100,2025:04:30 16:35:21,Scene Intelligent Auto
1233,28/5,1/125,100,2025:04:30 16:35:41,Scene Intelligent Auto
1234,9/2,1/60,100,2025:04:30 16:36:01,Scene Intelligent Auto
1235,5,1/80,100,2025:04:30 16:37:22,Scene Intelligent Auto
1236,28/5,1/200,800,2025:04:30 16:38:32,Portrait
1237,28/5,1/200,800,2025:04:30 16:38:32,Portrait
1238,28/5,1/250,100,2025:04:30 16:39:16,Portrait
1239,28/5,1/250,100,2025:04:30 16:40:08,Portrait
1240,28/5,1/250,100,2025:04:30 16:40:08,Portrait
1241,7/2,1/640,100,2025:04:30 16:41:28,Portrait
1242,28/5,1/100,100,2025:04:30 16:41:38,Portrait
1243,28/5,1/100,100,2025:04:30 16:41:46,Portrait
1244,28/5,1/100,100,2025:04:30 16:41:46,Portrait
1245,28/5,1/800,250,2025:04:30 16:44:33,Sports
1246,28/5,1/800,320,2025:04:30 16:44:57,Sports
1247,28/5,1/800,800,2025:04:30 16:45:22,Sports
1248,28/5,1/800,640,2025:04:30 16:46:02,Sports
1249,28/5,1/800,640,2025:04:30 16:46:02,Sports
1250,28/5,1/800,640,2025:04:30 16:46:02,Sports
1251,28/5,1/800,640,2025:04:30 16:46:02,Sports
1252,28/5,1/800,640,2025:04:30 16:46:03,Sports
1253,28/5,3/10,400,2025:04:30 16:47:52,Manual
1254,28/5,3/10,400,2025:04:30 16:47:52,Manual
1255,28/5,3/10,400,2025:04:30 16:47:53,Manual
1256,28/5,3/10,400,2025:04:30 16:47:54,Manual
1257,28/5,3/10,400,2025:04:30 16:47:54,Manual
1258,28/5,1/640,640,2025:04:30 16:50:49,Sports
1259,5,1/500,400,2025:04:30 16:50:49,Sports
1260,5,1/500,320,2025:04:30 16:50:50,Sports
1261,5,1/500,320,2025:04:30 16:50:50,Sports
1262,5,1/500,320,2025:04:30 16:50:50,Sports
1263,9/2,1/500,250,2025:04:30 16:51:31,Sports
1264,9/2,1/500,250,2025:04:30 16:51:31,Sports
1265,28/5,1/800,1000,2025:04:30 16:51:42,Sports
1266,28/5,1/800,1250,2025:04:30 16:51:42,Sports
1267,28/5,1/60,125,2025:04:30 16:52:31,Landscape
1268,11,1/125,100,2025:04:30 16:52:49,Landscape
1269,11,1/125,100,2025:04:30 16:53:02,Landscape
1270,8,1/60,100,2025:04:30 16:53:16,Landscape
1271,9,1/80,100,2025:04:30 16:53:51,Landscape
1272,8,1/60,100,2025:04:30 16:54:09,Landscape
1273,10,1/100,100,2025:04:30 16:54:27,Landscape
1274,9/2,1/320,100,2025:04:30 16:54:51,Macro
1275,9/2,1/250,100,2025:04:30 16:55:04,Macro
1276,28/5,1/100,160,2025:04:30 16:55:16,Macro
1277,5,1/80,100,2025:04:30 16:55:40,Macro
1278,9/2,1/160,100,2025:04:30 16:56:05,Macro
1279,5,1/500,100,2025:04:30 16:56:30,Macro
1280,9/2,1/160,100,2025:04:30 16:56:53,Macro
1281,28/5,1/200,100,2025:04:30 16:57:23,Macro
1282,28/5,1/100,500,2025:04:30 16:57:51,Macro
1283,28/5,1/125,100,2025:04:30 16:58:53,Macro
1284,4,1/1000,100,2025:04:30 16:59:18,Macro
1285,28/5,1/250,100,2025:04:30 16:59:48,Macro
1286,5,1/60,160,2025:04:30 17:00:09,Food
1287,28/5,1/100,100,2025:04:30 17:00:30,Food
1288,28/5,1/80,320,2025:04:30 17:01:10,Food
1289,9/2,1/40,100,2025:04:30 17:01:20,Food
1290,28/5,1/80,320,2025:04:30 17:01:36,Food
1291,28/5,1/80,320,2025:04:30 17:01:44,Food
1292,8,1/125,100,2025:04:30 17:02:08,Food
1293,5,1/60,200,2025:04:30 17:02:54,Food
1294,5,1/50,160,2025:04:30 17:03:01,Food
1295,9/2,1/40,100,2025:04:30 17:03:08,Food
1296,9/2,1/60,100,2025:04:30 17:03:48,Night
1297,28/5,1/80,160,2025:04:30 17:04:26,Night
1298,28/5,1/60,125,2025:04:30 17:04:47,Night
1299,28/5,1/80,200,2025:04:30 17:04:52,Night
1300,10,1/250,100,2025:04:30 17:05:12,Night
1301,28/5,1/60,125,2025:04:30 17:05:40,Night
1302,71/10,1/125,100,2025:04:30 17:05:54,Night
1303,71/10,1/320,100,2025:04:30 17:06:28,Night
1304,7/2,1/60,200,2025:04:30 17:07:00,Night
1305,5,1/60,400,2025:04:30 17:07:18,Night
1306,28/5,1/160,800,2025:04:30 17:09:10,Creative Auto
1307,5,1/60,250,2025:04:30 17:10:09,Creative Auto
1308,5,1/80,2500,2025:04:30 17:10:31,Creative Auto
1309,7/2,1/500,100,2025:04:30 17:10:54,Creative Auto
1310,28/5,1/800,250,2025:04:30 17:11:44,Sports
1311,9,1/250,100,2025:04:30 17:12:04,Night
